Country_name,Regional_indicator,year,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
Turkmenistan,Commonwealth of Independent States,2018,9.605,0.984,62.2,0.858,0.26,0.6
Lithuania,Central and Eastern Europe,2021,10.499,0.935,67.906,0.773,-0.203,0.826
Serbia,Central and Eastern Europe,2011,9.607,0.773,66.36,0.44,-0.185,0.977
Israel,Middle East and North Africa,2006,10.389,0.927,71.12,0.817,0.117,0.905
Libya,Middle East and North Africa,2016,9.268,0.876,62.3,0.822,-0.089,0.6926
Zimbabwe,Sub-Saharan Africa,2013,7.985,0.799,50.96,0.576,-0.104,0.831
Botswana,Sub-Saharan Africa,2018,9.778,0.795,58.9,0.818,-0.254,0.807
Montenegro,Central and Eastern Europe,2021,9.94,0.858,68.699,0.708,-0.034,0.812
Armenia,Commonwealth of Independent States,2008,9.256,0.709,65.0,0.462,-0.215,0.876
Kuwait,Middle East and North Africa,2006,11.228,0.919,63.96,0.769,-0.236,0.328
Canada,North America and ANZ,2018,10.798,0.923,73.6,0.946,0.106,0.372
Netherlands,Western Europe,2011,10.875,0.938,71.52,0.925,0.336,0.359
Iran,Middle East and North Africa,2020,9.469,0.757,66.6,0.6,0.15683333333333332,0.71
Tajikistan,Commonwealth of Independent States,2017,8.036,0.663,63.8,0.832,0.124,0.718
Colombia,Latin America and Caribbean,2014,9.546,0.907,66.58,0.801,-0.09,0.887
Honduras,Latin America and Caribbean,2018,8.643,0.827,67.2,0.872,0.099,0.804
Moldova,Commonwealth of Independent States,2012,9.105,0.826,61.94,0.602,-0.05,0.955
Peru,Latin America and Caribbean,2007,9.063,0.756,65.58,0.638,-0.078,0.931
Venezuela,Latin America and Caribbean,2013,9.739,0.896,65.82,0.642,-0.22,0.837
Chile,Latin America and Caribbean,2010,9.931,0.857,68.9,0.786,0.108,0.702
Tunisia,Middle East and North Africa,2011,9.192,0.715,65.28,0.603,-0.199,0.913
Cyprus,Western Europe,2012,10.479,0.767,72.68,0.725,0.098,0.871
Spain,Western Europe,2020,10.488,0.935,75.0,0.783,-0.121,0.73
Luxembourg,Western Europe,2018,11.645,0.902,72.6,0.884,-0.022,0.385
Russia,Commonwealth of Independent States,2012,10.166,0.901,61.84,0.609,-0.293,0.938
Romania,Central and Eastern Europe,2009,9.949,0.812,64.96,0.606,-0.196,0.967
Myanmar,Southeast Asia,2015,8.359,0.752,58.1,0.808,0.688,0.633
Cyprus,Western Europe,2013,10.414,0.744,72.82,0.656,0.102,0.867
Kyrgyzstan,Commonwealth of Independent States,2018,8.543,0.898,64.1,0.945,0.267,0.907
Slovenia,Central and Eastern Europe,2011,10.426,0.931,69.4,0.907,-0.025,0.893
Azerbaijan,Commonwealth of Independent States,2007,9.386,0.753,62.26,0.522,-0.207,0.871
Zambia,Sub-Saharan Africa,2009,7.978,0.782,48.64,0.696,-0.096,0.917
Bahrain,Middle East and North Africa,2021,10.669,0.862,69.495,0.925,0.089,0.722
Panama,Latin America and Caribbean,2014,10.217,0.873,69.1,0.894,0.002,0.847
El Salvador,Latin America and Caribbean,2011,8.933,0.731,64.4,0.747,-0.126,0.707
Poland,Central and Eastern Europe,2021,10.382,0.898,69.702,0.841,-0.165,0.735
Moldova,Commonwealth of Independent States,2006,8.936,0.812,60.58,0.554,-0.164,0.926
Russia,Commonwealth of Independent States,2013,10.182,0.881,62.26,0.661,-0.289,0.934
Russia,Commonwealth of Independent States,2018,10.191,0.909,64.3,0.729,-0.147,0.865
Swaziland,Sub-Saharan Africa,2021,9.065,0.77,50.833,0.647,-0.185,0.708
Luxembourg,Western Europe,2012,11.567,0.914,72.06,0.917,0.059,0.403
Palestinian Territories,Middle East and North Africa,2010,8.383,0.822,62.25,0.504,-0.117,0.752
Slovakia,Central and Eastern Europe,2016,10.31,0.945,68.3,0.7,-0.061,0.917
Azerbaijan,Commonwealth of Independent States,2016,9.564,0.777,64.9,0.713,-0.204,0.607
Romania,Central and Eastern Europe,2005,9.724,0.838,64.0,0.8,-0.16244444444444447,0.957
Malawi,Sub-Saharan Africa,2009,6.838,0.718,49.02,0.879,0.176,0.689
Sweden,Western Europe,2008,10.793,0.923,71.62,0.912,0.125,0.314
Mongolia,East Asia,2014,9.304,0.943,61.4,0.752,0.146,0.909
Singapore,Southeast Asia,2015,11.4,0.866,75.9,0.887,0.15,0.099
Malaysia,Southeast Asia,2019,10.252,0.842,67.2,0.916,0.123,0.782
Kyrgyzstan,Commonwealth of Independent States,2012,8.357,0.856,61.94,0.703,-0.079,0.892
Jordan,Middle East and North Africa,2019,9.201,0.793,67.0,0.726,-0.165,0.687
Vietnam,Southeast Asia,2021,8.973,0.85,68.034,0.94,-0.098,0.796
Peru,Latin America and Caribbean,2012,9.322,0.764,66.66,0.703,-0.079,0.867
Congo (Brazzaville),Sub-Saharan Africa,2013,8.201,0.68,55.34,0.726,-0.078,0.752
Laos,Southeast Asia,2007,8.307,0.79,54.44,0.867,0.478,0.58
Lithuania,Central and Eastern Europe,2013,10.263,0.913,65.1,0.556,-0.237,0.936
Libya,Middle East and North Africa,2018,9.617,0.824,62.3,0.781,-0.101,0.646
Kyrgyzstan,Commonwealth of Independent States,2008,8.329,0.792,60.54,0.719,-0.1,0.923
Ivory Coast,Sub-Saharan Africa,2009,8.209,0.667,45.78,0.76,-0.153,0.902
Armenia,Commonwealth of Independent States,2021,9.487,0.799,67.055,0.825,-0.168,0.629
Ecuador,Latin America and Caribbean,2014,9.399,0.831,67.44,0.719,-0.167,0.661
Saudi Arabia,Middle East and North Africa,2010,10.693,0.88,64.4,0.678,-0.033,0.5446666666666666
Turkey,Middle East and North Africa,2016,10.181,0.88,66.0,0.644,-0.065,0.764
Cameroon,Sub-Saharan Africa,2014,8.12,0.778,49.9,0.795,-0.071,0.856
Kazakhstan,Commonwealth of Independent States,2012,10.03,0.892,61.24,0.84,-0.171,0.877
North Macedonia,Central and Eastern Europe,2019,9.711,0.815,65.474,0.725,0.024,0.923
Venezuela,Latin America and Caribbean,2012,9.826,0.932,65.78,0.804,-0.193,0.743
Georgia,Commonwealth of Independent States,2016,9.47,0.533,64.9,0.606,-0.249,0.561
Tajikistan,Commonwealth of Independent States,2015,7.945,0.844,63.2,0.847,0.022,0.742
Cyprus,Western Europe,2021,10.576,0.802,73.898,0.763,-0.015,0.844
Ethiopia,Sub-Saharan Africa,2021,7.694,0.764,59.0,0.752,0.082,0.761
Uruguay,Latin America and Caribbean,2010,9.782,0.893,68.0,0.832,-0.158,0.471
United Kingdom,Western Europe,2005,10.663,0.979,69.9,0.922,0.3145454545454545,0.398
Yemen,Middle East and North Africa,2009,8.278,0.756,54.0,0.644,-0.052,0.832
China,East Asia,2016,9.51,0.742,68.7,0.85575,-0.228,0.755
Tajikistan,Commonwealth of Independent States,2016,7.987,0.857,63.5,0.703,0.01,0.632
Turkey,Middle East and North Africa,2019,10.246,0.792,67.2,0.631,-0.136,0.76
Philippines,Southeast Asia,2009,8.632,0.775,60.4,0.874,0.004,0.805
Mali,Sub-Saharan Africa,2010,7.642,0.751,48.4,0.749,-0.028,0.811
United Kingdom,Western Europe,2010,10.649,0.955,71.3,0.841,0.403,0.587
Haiti,Latin America and Caribbean,2008,7.417,0.679,40.38,0.465,0.261,0.812
Morocco,Middle East and North Africa,2013,8.829,0.597,64.4,0.572,-0.21,0.771
Israel,Middle East and North Africa,2016,10.555,0.89,72.9,0.772,0.153,0.804
Senegal,Sub-Saharan Africa,2018,8.106,0.739,59.6,0.629,-0.074,0.805
Russia,Commonwealth of Independent States,2014,10.171,0.932,62.68,0.744,-0.265,0.869
Algeria,Middle East and North Africa,2021,9.342,0.802,66.005,0.48,-0.067,0.752
Paraguay,Latin America and Caribbean,2006,9.088,0.895,63.62,0.691,0.066,0.841
Myanmar,Southeast Asia,2014,8.299,0.774,57.74,0.8197142857142856,0.698,0.592
Bolivia,Latin America and Caribbean,2014,8.953,0.821,62.36,0.881,0.018,0.832
Indonesia,Southeast Asia,2015,9.225,0.809,61.5,0.779,0.471,0.946
Portugal,Western Europe,2018,10.434,0.887,72.4,0.877,-0.261,0.88
Hong Kong S.A.R. of China,East Asia,2016,10.97,0.832,84.21,0.8,0.1,0.403
Netherlands,Western Europe,2012,10.861,0.939,71.64,0.877,0.288,0.434
Mauritius,Sub-Saharan Africa,2020,9.972,0.893,67.0,0.843,-0.037,0.772
China,East Asia,2014,9.386,0.82,68.24,0.85575,-0.217,0.755
Congo (Brazzaville),Sub-Saharan Africa,2017,8.146,0.655,57.3,0.778,-0.131,0.763
Honduras,Latin America and Caribbean,2007,8.5,0.819,64.78,0.676,0.23,0.826
Venezuela,Latin America and Caribbean,2015,9.001,0.911,65.9,0.512,-0.117,0.813
Armenia,Commonwealth of Independent States,2019,9.522,0.782,67.2,0.844,-0.172,0.583
Thailand,Southeast Asia,2021,9.805,0.888,67.401,0.884,0.287,0.895
Taiwan Province of China,East Asia,2012,10.716,0.825,78.3,0.698,0.022,0.803
Latvia,Central and Eastern Europe,2011,10.029,0.836,64.86,0.564,-0.002,0.934
Libya,Middle East and North Africa,2012,9.842,0.855,62.66,0.712,-0.032,0.791
Slovakia,Central and Eastern Europe,2015,10.291,0.943,68.0,0.587,-0.128,0.928
Thailand,Southeast Asia,2016,9.729,0.908,66.8,0.924,0.356,0.878
Mauritania,Sub-Saharan Africa,2019,8.556,0.798,57.3,0.628,-0.102,0.743
Moldova,Commonwealth of Independent States,2016,9.3,0.837,63.6,0.557,-0.047,0.969
Tanzania,Sub-Saharan Africa,2010,7.604,0.813,52.3,0.597,0.139,0.866
Italy,Western Europe,2011,10.671,0.913,72.84,0.568,-0.018,0.933
Portugal,Western Europe,2015,10.347,0.866,71.8,0.8,-0.163,0.941
Ivory Coast,Sub-Saharan Africa,2015,8.393,0.704,47.7,0.8,-0.053,0.744
Saudi Arabia,Middle East and North Africa,2012,10.779,0.867,64.8,0.56,-0.12,0.5446666666666666
Afghanistan,South Asia,2010,7.647,0.539,51.6,0.6,0.121,0.707
Rwanda,Sub-Saharan Africa,2011,7.369,0.57,56.82,0.829,-0.039,0.161
Germany,Western Europe,2017,10.878,0.892,71.9,0.841,0.145,0.414
Cameroon,Sub-Saharan Africa,2020,8.175,0.72,54.3,0.675,0.049,0.837
Denmark,Western Europe,2018,10.935,0.958,72.4,0.935,0.018,0.151
Saudi Arabia,Middle East and North Africa,2015,10.798,0.82,65.4,0.82,-0.045,0.5446666666666666
Ethiopia,Sub-Saharan Africa,2012,7.271,0.659,55.2,0.776,-0.044,0.7283333333333334
Spain,Western Europe,2007,10.587,0.957,72.06,0.782,-0.093,0.784
Japan,East Asia,2012,10.549,0.905,74.16,0.753,-0.1623076923076923,0.692
Cyprus,Western Europe,2019,10.585,0.776,73.9,0.74,-0.008,0.865
North Macedonia,Central and Eastern Europe,2015,9.613,0.766,65.145,0.66,-0.047,0.824
Ecuador,Latin America and Caribbean,2013,9.377,0.801,67.28,0.787,-0.191,0.646
Palestinian Territories,Middle East and North Africa,2007,8.218,0.712,61.897,0.365,-0.08,0.844
Sierra Leone,Sub-Saharan Africa,2011,7.292,0.782,44.32,0.77,0.005,0.855
Panama,Latin America and Caribbean,2021,10.35,0.896,69.652,0.872,-0.166,0.856
Austria,Western Europe,2011,10.887,0.944,71.54,0.939,0.132,0.703
Nepal,South Asia,2009,7.723,0.813,58.7,0.616,0.044,0.95
Belarus,Commonwealth of Independent States,2008,9.677,0.904,61.7,0.64,-0.22,0.696
Costa Rica,Latin America and Caribbean,2011,9.705,0.892,69.9,0.926,-0.033,0.837
Benin,Sub-Saharan Africa,2013,7.964,0.577,52.54,0.783,-0.085,0.856
Egypt,Middle East and North Africa,2013,9.239,0.675,60.48,0.474,-0.141,0.913
Sri Lanka,South Asia,2013,9.305,0.809,66.4,0.834,0.268,0.842
Costa Rica,Latin America and Caribbean,2006,9.565,0.937,69.94,0.882,0.06,0.798
Palestinian Territories,Middle East and North Africa,2017,8.485,0.824,74.83,0.632,-0.163,0.831
Nepal,South Asia,2019,8.136,0.772,64.6,0.79,0.167,0.712
Ireland,Western Europe,2014,10.959,0.968,71.9,0.922,0.264,0.406
Bulgaria,Central and Eastern Europe,2013,9.813,0.829,66.0,0.603,-0.191,0.962
Romania,Central and Eastern Europe,2012,9.965,0.74,65.64,0.645,-0.112,0.959
Chad,Sub-Saharan Africa,2016,7.431,0.616,47.2,0.525,0.052,0.82
Afghanistan,South Asia,2021,7.695,0.463,52.493,0.382,-0.102,0.924
Lebanon,Middle East and North Africa,2005,9.565,0.796,64.6,0.703,0.018000000000000002,0.945
Palestinian Territories,Middle East and North Africa,2014,8.457,0.775,72.62,0.657,-0.147,0.804
South Africa,Sub-Saharan Africa,2019,9.432,0.848,56.9,0.738,-0.134,0.82
Paraguay,Latin America and Caribbean,2008,9.174,0.889,64.06,0.649,0.057,0.891
Israel,Middle East and North Africa,2018,10.585,0.91,73.3,0.725,0.055,0.77
Australia,North America and ANZ,2020,10.76,0.937,74.2,0.905,0.21,0.491
Nigeria,Sub-Saharan Africa,2010,8.504,0.824,46.2,0.565,0.067,0.911
Malawi,Sub-Saharan Africa,2014,6.935,0.512,54.48,0.786,0.061,0.824
Botswana,Sub-Saharan Africa,2014,9.756,0.859,56.02,0.791,-0.105,0.743
Austria,Western Europe,2013,10.883,0.95,71.82,0.922,0.168,0.679
Portugal,Western Europe,2020,10.371,0.875,72.8,0.913,-0.238,0.867
Botswana,Sub-Saharan Africa,2008,9.59,0.832,49.86,0.858,-0.164,0.806
United Arab Emirates,Middle East and North Africa,2017,11.115,0.836,66.9,0.962,0.216,0.299
Gambia,Sub-Saharan Africa,2018,7.671,0.685,55.0,0.719,0.44,0.691
Zambia,Sub-Saharan Africa,2008,7.918,0.624,47.18,0.717,0.056,0.89
Chile,Latin America and Caribbean,2007,9.887,0.815,68.72,0.662,0.244,0.723
Bosnia and Herzegovina,Central and Eastern Europe,2015,9.457,0.656,66.9,0.631,-0.055,0.96
Switzerland,Western Europe,2015,11.1,0.938,73.2,0.928,0.109,0.21
Bahrain,Middle East and North Africa,2011,10.696,0.908,66.58,0.87,-0.051,0.583
Austria,Western Europe,2006,10.842,0.936,70.76,0.941,0.302,0.49
Georgia,Commonwealth of Independent States,2018,9.565,0.617,64.5,0.775,-0.233,0.755
Ecuador,Latin America and Caribbean,2012,9.344,0.785,67.12,0.825,-0.084,0.73
Estonia,Central and Eastern Europe,2013,10.299,0.901,67.48,0.754,-0.201,0.726
Spain,Western Europe,2017,10.586,0.903,74.1,0.756,-0.032,0.791
Nepal,South Asia,2015,7.976,0.748,60.2,0.763,0.227,0.824
Panama,Latin America and Caribbean,2015,10.255,0.883,69.3,0.847,-0.007,0.81
Burkina Faso,Sub-Saharan Africa,2010,7.453,0.773,49.7,0.587,-0.036,0.767
Israel,Middle East and North Africa,2014,10.533,0.889,72.64,0.707,0.094,0.818
Bolivia,Latin America and Caribbean,2011,8.831,0.817,61.34,0.782,-0.039,0.825
Luxembourg,Western Europe,2009,11.562,0.939,71.44,0.939,0.127,0.432
Singapore,Southeast Asia,2010,11.267,0.864,74.8,0.846,-0.018,0.06
United Kingdom,Western Europe,2009,10.638,0.964,71.02,0.816,0.341,0.559
Sweden,Western Europe,2005,10.739,0.951,71.2,0.964,0.14733333333333332,0.259
Honduras,Latin America and Caribbean,2012,8.53,0.779,65.94,0.7,-0.003,0.871
Haiti,Latin America and Caribbean,2006,7.407,0.694,48.46,0.449,0.401,0.854
Philippines,Southeast Asia,2013,8.805,0.846,61.2,0.907,0.021,0.756
Israel,Middle East and North Africa,2020,10.538,0.959,73.7,0.831,-0.049,0.748
Senegal,Sub-Saharan Africa,2013,7.926,0.823,57.48,0.636,-0.052,0.837
Nigeria,Sub-Saharan Africa,2020,8.484,0.739,50.5,0.713,0.099,0.913
Comoros,Sub-Saharan Africa,2009,7.952,0.629,54.36,0.508,-0.074,0.838
Iraq,Middle East and North Africa,2013,9.28,0.728,58.88,0.504375,-0.05,0.71
Sri Lanka,South Asia,2010,9.119,0.814,66.1,0.738,0.259,0.769
Australia,North America and ANZ,2012,10.754,0.945,72.4,0.935,0.274,0.368
Malta,Western Europe,2021,10.674,0.931,72.2,0.927,0.133,0.653
Benin,Sub-Saharan Africa,2014,7.998,0.506,52.82,0.776,-0.096,0.855
Croatia,Central and Eastern Europe,2015,10.104,0.768,68.4,0.694,-0.096,0.849
Kenya,Sub-Saharan Africa,2008,8.052,0.827,52.86,0.62,-0.012,0.909
Malta,Western Europe,2017,10.635,0.937,72.2,0.924,0.253,0.69
Madagascar,Sub-Saharan Africa,2015,7.344,0.647,57.9,0.545,-0.041,0.861
Palestinian Territories,Middle East and North Africa,2012,8.531,0.782,73.47,0.542,-0.153,0.73
Uruguay,Latin America and Caribbean,2019,9.979,0.933,69.1,0.903,-0.095,0.599
Uzbekistan,Commonwealth of Independent States,2010,8.445,0.903,63.2,0.9366666666666666,-0.03,0.519
Romania,Central and Eastern Europe,2007,9.892,0.736,64.48,0.686,-0.188,0.949
Zambia,Sub-Saharan Africa,2014,8.146,0.706,53.06,0.812,-0.011,0.809
Ireland,Western Europe,2013,10.884,0.955,71.8,0.884,0.331,0.558
Congo (Brazzaville),Sub-Saharan Africa,2016,8.19,0.615,56.7,0.786,-0.072,0.79
Ecuador,Latin America and Caribbean,2011,9.304,0.818,66.96,0.788,-0.155,0.702
Zambia,Sub-Saharan Africa,2012,8.114,0.78,51.58,0.788,0.008,0.806
Austria,Western Europe,2018,10.928,0.912,73.0,0.904,0.053,0.523
India,South Asia,2011,8.387,0.553,57.7,0.838,-0.038,0.908
Chad,Sub-Saharan Africa,2021,7.364,0.619,48.478,0.579,0.041,0.807
Netherlands,Western Europe,2005,10.814,0.947,70.4,0.901,0.27974999999999994,0.571
Costa Rica,Latin America and Caribbean,2007,9.63,0.918,69.88,0.923,0.098,0.82
Nigeria,Sub-Saharan Africa,2016,8.573,0.805,48.9,0.798,0.043,0.905
Italy,Western Europe,2016,10.622,0.927,73.2,0.624,-0.081,0.903
Burundi,Sub-Saharan Africa,2021,6.635,0.49,53.4,0.626,-0.024,0.607
Uzbekistan,Commonwealth of Independent States,2013,8.607,0.963,63.8,0.95,-0.034,0.434
Sweden,Western Europe,2014,10.82,0.933,72.22,0.945,0.202,0.25
Niger,Sub-Saharan Africa,2021,7.098,0.641,53.78,0.806,0.018,0.693
Mozambique,Sub-Saharan Africa,2007,6.823,0.748,45.5,0.643,0.074,0.854
Mongolia,East Asia,2015,9.308,0.906,61.7,0.686,0.173,0.9
Saudi Arabia,Middle East and North Africa,2014,10.783,0.818,65.2,0.762,-0.073,0.5446666666666666
Argentina,Latin America and Caribbean,2021,9.962,0.898,69.0,0.828,-0.182,0.834
Botswana,Sub-Saharan Africa,2019,9.785,0.774,59.6,0.833,-0.239,0.792
Japan,East Asia,2011,10.532,0.917,73.98,0.814,-0.052,0.734
Senegal,Sub-Saharan Africa,2007,7.903,0.718,54.06,0.698,-0.002,0.827
Ghana,Sub-Saharan Africa,2008,8.152,0.622,53.22,0.838,0.12,0.863
Israel,Middle East and North Africa,2010,10.461,0.882,72.4,0.561,0.15,0.902
Lithuania,Central and Eastern Europe,2019,10.518,0.918,67.9,0.78,-0.251,0.783
Romania,Central and Eastern Europe,2019,10.306,0.842,67.5,0.848,-0.221,0.954
Lesotho,Sub-Saharan Africa,2019,7.926,0.79,48.7,0.716,-0.131,0.915
Yemen,Middle East and North Africa,2019,8.061555555555556,0.87,57.5,0.651,-0.12055555555555555,0.798
Comoros,Sub-Saharan Africa,2010,7.965,0.721,54.7,0.529,0.005,0.741
Morocco,Middle East and North Africa,2021,8.903,0.56,66.208,0.774,-0.236,0.801
Australia,North America and ANZ,2014,10.772,0.924,72.6,0.923,0.319,0.442
Japan,East Asia,2010,10.532,0.902,73.8,0.772,-0.14,0.77
Georgia,Commonwealth of Independent States,2007,9.117,0.548,65.04,0.464,-0.267,0.697
Austria,Western Europe,2016,10.891,0.926,72.4,0.889,0.08,0.524
Serbia,Central and Eastern Europe,2015,9.649,0.816,67.0,0.546,-0.062,0.859
Turkey,Middle East and North Africa,2005,9.809,0.82,62.6,0.623,-0.15666666666666665,0.877
Slovakia,Central and Eastern Europe,2018,10.376,0.922,68.9,0.758,-0.167,0.91
Turkmenistan,Commonwealth of Independent States,2014,9.427,0.909,60.76,0.805,0.032,0.6
South Korea,East Asia,2021,10.651,0.799,73.9,0.672,-0.083,0.727
Croatia,Central and Eastern Europe,2011,10.091,0.79,68.0,0.517,-0.198,0.977
Dominican Republic,Latin America and Caribbean,2018,9.782,0.862,65.8,0.867,-0.15,0.762
Panama,Latin America and Caribbean,2011,10.059,0.876,68.5,0.829,0.009,0.84
Montenegro,Central and Eastern Europe,2020,9.913,0.887,68.9,0.802,0.06,0.845
Mexico,Latin America and Caribbean,2014,9.847,0.782,67.22,0.779,-0.094,0.63
United Arab Emirates,Middle East and North Africa,2019,11.114,0.862,67.3,0.911,0.129,0.299
Malta,Western Europe,2018,10.67,0.932,72.2,0.927,0.179,0.595
Luxembourg,Western Europe,2014,11.598,0.875,72.42,0.938,0.106,0.366
France,Western Europe,2021,10.704,0.942,74.0,0.822,-0.147,0.571
Turkey,Middle East and North Africa,2008,9.899,0.645,63.68,0.415,-0.189,0.785
Pakistan,South Asia,2012,8.289,0.542,56.64,0.367,0.165,0.842
Togo,Sub-Saharan Africa,2019,7.375,0.539,55.1,0.617,0.065,0.737
Iraq,Middle East and North Africa,2008,9.063,0.744,58.32,0.386,-0.061,0.91
Egypt,Middle East and North Africa,2005,9.036,0.848,59.7,0.817,-0.12728571428571428,0.8694999999999999
Argentina,Latin America and Caribbean,2020,9.85,0.897,69.2,0.823,-0.122,0.816
Cyprus,Western Europe,2010,10.551,0.822,72.4,0.755,0.073,0.833
Peru,Latin America and Caribbean,2021,9.458,0.832,68.25,0.822,-0.154,0.891
Guatemala,Latin America and Caribbean,2017,9.026,0.826,64.5,0.915,-0.059,0.8
Australia,North America and ANZ,2008,10.719,0.947,71.88,0.916,0.305,0.431
Malaysia,Southeast Asia,2006,9.839,0.866,64.96,0.837,0.201,0.74
France,Western Europe,2012,10.669,0.937,72.6,0.841,-0.149,0.608
Jamaica,Latin America and Caribbean,2014,9.152,0.874,66.58,0.809,-0.001,0.861
Kuwait,Middle East and North Africa,2017,10.837,0.853,66.5,0.884,-0.005,0.557
Kazakhstan,Commonwealth of Independent States,2010,9.94,0.904,60.2,0.785,-0.215,0.823
China,East Asia,2019,9.688,0.822,69.6,0.927,-0.173,0.755
Ghana,Sub-Saharan Africa,2021,8.58,0.727,57.586,0.807,0.123,0.848
Afghanistan,South Asia,2012,7.705,0.521,52.24,0.531,0.236,0.776
Dominican Republic,Latin America and Caribbean,2020,9.802,0.806,66.4,0.835,-0.128,0.636
Greece,Western Europe,2011,10.339,0.852,71.56,0.528,-0.316,0.941
South Africa,Sub-Saharan Africa,2021,9.403,0.86,56.904,0.749,-0.067,0.86
El Salvador,Latin America and Caribbean,2016,9.025,0.794,65.5,0.8,-0.185,0.797
Ireland,Western Europe,2015,11.174,0.953,72.0,0.892,0.233,0.409
Panama,Latin America and Caribbean,2017,10.324,0.912,69.5,0.9,-0.17,0.841
Iran,Middle East and North Africa,2018,9.469,0.674,66.0,0.603,0.15683333333333332,0.703
Iceland,Western Europe,2019,10.931,0.982,73.0,0.959,0.24585714285714286,0.699
Finland,Western Europe,2016,10.74,0.954,71.7,0.948,-0.027,0.25
Egypt,Middle East and North Africa,2020,9.383,0.673,62.3,0.77,-0.112,0.8694999999999999
Latvia,Central and Eastern Europe,2012,10.082,0.851,65.12,0.564,-0.038,0.895
Ireland,Western Europe,2018,11.332,0.938,72.3,0.861,0.144,0.362
Bangladesh,South Asia,2007,7.839,0.514,59.44,0.605,0.04,0.806
Kenya,Sub-Saharan Africa,2014,8.219,0.765,57.74,0.819,0.172,0.849
South Korea,East Asia,2015,10.568,0.768,72.7,0.616,-0.036,0.841
Belgium,Western Europe,2013,10.784,0.909,71.16,0.891,0.017,0.574
Estonia,Central and Eastern Europe,2019,10.511,0.934,68.8,0.887,-0.096,0.576
Denmark,Western Europe,2013,10.851,0.965,71.06,0.92,0.215,0.17
Netherlands,Western Europe,2013,10.857,0.925,71.76,0.919,0.305,0.505
Kazakhstan,Commonwealth of Independent States,2007,9.878,0.861,58.7,0.806,-0.246,0.865
Iraq,Middle East and North Africa,2020,9.167,0.708,61.4,0.7,-0.021,0.849
Latvia,Central and Eastern Europe,2020,10.3,0.928,67.4,0.82,-0.078,0.809
Denmark,Western Europe,2010,10.839,0.975,70.4,0.944,0.242,0.175
Lebanon,Middle East and North Africa,2015,9.699,0.742,65.6,0.597,0.073,0.889
Kuwait,Middle East and North Africa,2016,10.91,0.845,66.3,0.841,-0.075,0.557
Malawi,Sub-Saharan Africa,2019,6.966,0.549,58.3,0.765,0.004,0.68
Hong Kong S.A.R. of China,East Asia,2006,10.746,0.812,82.38,0.91,0.156,0.356
Niger,Sub-Saharan Africa,2017,7.058,0.582,53.0,0.684,-0.03,0.778
Philippines,Southeast Asia,2017,9.002,0.851,61.8,0.926,-0.141,0.711
Lesotho,Sub-Saharan Africa,2021,7.926,0.787,48.7,0.715,-0.131,0.915
Sweden,Western Europe,2011,10.814,0.921,71.98,0.941,0.161,0.269
El Salvador,Latin America and Caribbean,2020,9.019,0.696,66.7,0.924,-0.126,0.583
Lithuania,Central and Eastern Europe,2015,10.335,0.929,65.5,0.641,-0.254,0.924
Sri Lanka,South Asia,2006,8.912,0.864,65.78,0.724,0.062,0.838
Croatia,Central and Eastern Europe,2007,10.162,0.91,67.12,0.662,-0.092,0.934
Germany,Western Europe,2009,10.714,0.935,70.76,0.844,0.127,0.69
Saudi Arabia,Middle East and North Africa,2021,10.743,0.891,66.603,0.877,-0.149,0.684
Netherlands,Western Europe,2007,10.881,0.944,70.8,0.896,0.344,0.445
Iceland,Western Europe,2021,10.878,0.983,73.0,0.955,0.16,0.673
Afghanistan,South Asia,2015,7.702,0.529,53.2,0.389,0.08,0.881
Kazakhstan,Commonwealth of Independent States,2020,10.135,0.966,65.8,0.872,-0.056,0.661
Germany,Western Europe,2005,10.689,0.963,70.2,0.847,0.07900000000000001,0.781
Costa Rica,Latin America and Caribbean,2014,9.775,0.914,70.5,0.927,0.01,0.788
United Arab Emirates,Middle East and North Africa,2020,11.053,0.827,67.5,0.942,0.06,0.299
Burkina Faso,Sub-Saharan Africa,2014,7.559,0.742,51.86,0.71,-0.004,0.801
Canada,North America and ANZ,2010,10.717,0.954,72.2,0.934,0.23,0.413
Venezuela,Latin America and Caribbean,2008,9.701,0.922,65.58,0.678,-0.225,0.776
United Kingdom,Western Europe,2016,10.724,0.954,71.9,0.821,0.25,0.458
Haiti,Latin America and Caribbean,2013,7.464,0.648,45.98,0.61,0.289,0.669
Kosovo,Central and Eastern Europe,2019,9.339,0.843,72.2,0.841,0.247,0.92
Nepal,South Asia,2013,7.889,0.74,59.8,0.722,0.151,0.877
Kazakhstan,Commonwealth of Independent States,2018,10.148,0.937,64.6,0.84,-0.098,0.824
Bulgaria,Central and Eastern Europe,2021,10.016,0.931,67.0,0.788,-0.096,0.932
Mozambique,Sub-Saharan Africa,2011,6.979,0.818,48.32,0.639,-0.024,0.719
Uruguay,Latin America and Caribbean,2009,9.71,0.924,67.86,0.825,-0.118,0.544
Uganda,Sub-Saharan Africa,2020,7.684,0.8,56.5,0.687,0.147,0.878
Afghanistan,South Asia,2008,7.37,0.451,50.8,0.718,0.168,0.882
Madagascar,Sub-Saharan Africa,2019,7.406,0.701,59.5,0.55,-0.012,0.72
Jordan,Middle East and North Africa,2016,9.197,0.82,66.4,0.771,-0.038,0.687
